Marque,Modèle,road,year,boite,transmission,horsepower,fuel,Prix
Citroën,DS5,205 000 km,2012,Automatique,Traction,6 cv,Diesel,43 000
Citroën,Jumpy Fourgon,123 000 km,2022,Manuelle,Traction,7 cv,Diesel,72 000
Audi,A5 Coupé S-Line,201 000 km,2011,Automatique,Traction,10 cv,Essence,48 000
Volkswagen,Polo,26 000 km,2021,Manuelle,Traction,4 cv,Essence,55 000
Audi,A5 Coupé S-Line,168 000 km,2009,Automatique,Traction,13 cv,Essence,56 000
Suzuki,Vitara,96 000 km,2018,Automatique,Traction,6 cv,Essence,72 000
Land,Rover Range Rover Evoque,130 000 km,2015,Automatique,Traction,10 cv,Diesel,139 000
Opel,Corsa,41 000 km,2022,Manuelle,Traction,5 cv,Essence,59 900
Haval,H6 Luxury,60 000 km,2019,Automatique,Traction,9 cv,Essence,85 000
Dacia,Sandero Stepway,75 000 km,2015,Manuelle,Traction,5 cv,Essence,40 000
Nissan,Navara,364 000 km,2009,Automatique,Traction,8 cv,Diesel,49 000
Honda,HR-V,79 000 km,2017,Manuelle,Traction,7 cv,Essence,58 000
Mercedes-Benz,Classe E,160 000 km,2009,Automatique,Traction,12 cv,Diesel,59 000
Mercedes-Benz,Classe E,176 000 km,2012,Automatique,Traction,11 cv,Essence,72 000
Mercedes-Benz,Classe C,157 000 km,2016,Automatique,Traction,6 cv,Diesel,125 000
BMW,X1,78 000 km,2020,Automatique,Traction,8 cv,Essence,98 000
Mercedes-Benz,Classe E,15 000 km,2022,Automatique,Traction,9 cv,Essence,248 000
Volkswagen,Golf 7,183 000 km,2019,Manuelle,Traction,6 cv,Diesel,73 500
Seat,Ateca Xcellence,192 000 km,2017,Automatique,Traction,8 cv,Essence,71 000
Citroën,Jumper,476 000 km,2010,Manuelle,Traction,7 cv,Diesel,29 500
Nissan,Patrol,481 000 km,1991,Manuelle,Traction,11 cv,Diesel,42 000
Great,Wall Poer MT,61 000 km,2021,Manuelle,Traction,11 cv,Diesel,88 000
Toyota,RAV 4 Hybride,31 000 km,2022,Automatique,Traction,9 cv,Hybride,155 000
Toyota,C-HR,47 000 km,2021,Automatique,Traction,6 cv,Essence,89 000
Opel,Mokka,37 000 km,2014,Manuelle,Traction,7 cv,Diesel,59 500
BMW,X5,295 000 km,2007,Automatique,Traction,16 cv,Diesel,65 000
Hyundai,Grand i10,34 000 km,2022,Manuelle,Traction,5 cv,Essence,49 000
Peugeot,Rifter,67 000 km,2019,Manuelle,Traction,6 cv,Essence,69 000
KIA,Optima,379 000 km,2012,Automatique,Traction,10 cv,Essence,38 000
Peugeot,208 3P,104 000 km,2017,Manuelle,Traction,5 cv,Essence,29 900
Mercedes-Benz,Classe C Avantgarde,185 000 km,2009,Automatique,Traction,9 cv,Essence,49 500
Toyota,Land Cruiser 80,506 000 km,1996,Manuelle,Traction,17 cv,Diesel,69 000
Volkswagen,Golf 7,75 000 km,2016,Automatique,Traction,13 cv,Essence,110 000
Toyota,C-HR,150 000 km,2017,Automatique,Traction,6 cv,Essence,69 500
Skoda,Fabia,105 000 km,2021,Manuelle,Traction,4 cv,Essence,43 000
Volkswagen,Passat CC,191 000 km,2014,Automatique,Traction,10 cv,Essence,53 000
Toyota,Land Cruiser,347 000 km,1999,Manuelle,Traction,17 cv,Diesel,55 000
Mazda,3 High Grade,107 000 km,2017,Manuelle,Traction,6 cv,Essence,56 000
Citroën,C3 Shine,62 000 km,2019,Automatique,Traction,6 cv,Essence,47 500
Mercedes-Benz,GLA,97 000 km,2016,Automatique,Traction,8 cv,Essence,92 000
Volkswagen,Passat CC,150 000 km,2009,Automatique,Traction,12 cv,Essence,37 000
Audi,A4,240 000 km,2012,Automatique,Traction,8 cv,Diesel,50 000
Ford,Ecosport Titanium,97 000 km,2018,Automatique,Traction,7 cv,Essence,62 000
Mercedes-Benz,Classe C,113 000 km,2017,Automatique,Traction,8 cv,Essence,135 000
BMW,Série 3,177 000 km,2018,Automatique,Traction,7 cv,Essence,85 000
Ford,Focus Titanium,161 000 km,2018,Manuelle,Traction,6 cv,Essence,39 900
MG,ZS,68 000 km,2020,Automatique,Traction,7 cv,Essence,64 000
Citroën,C3,136 000 km,2014,Manuelle,Traction,5 cv,Essence,28 000
Haval,H6,11 000 km,2023,Automatique,Traction,8 cv,Essence,126 000
BMW,Série 5,179 000 km,2013,Automatique,Traction,10 cv,Essence,79 500
BMW,Série 4 Gran Coupé,99 000 km,2019,Automatique,Traction,7 cv,Essence,115 000
Nissan,Qashqai,256 000 km,2011,Manuelle,Traction,6 cv,Diesel,38 500
Hyundai,Grand i10,39 000 km,2023,Manuelle,Traction,4 cv,Essence,47 000
Mercedes-Benz,Classe A,101 000 km,2020,Automatique,Traction,7 cv,Essence,129 000
Iveco,Daily Fourgon,31 000 km,2015,Manuelle,Traction,16 cv,Diesel,110 000
Mercedes-Benz,Classe E,223 000 km,2017,Automatique,Traction,9 cv,Essence,119 000
Toyota,Hilux Double Cabine,114 000 km,2019,Manuelle,Traction,8 cv,Diesel,160 000
Mercedes-Benz,Classe C,112 000 km,2019,Automatique,Traction,10 cv,Hybride,145 000
Hyundai,Coupe,138 000 km,2003,Manuelle,Traction,7 cv,Essence,30 000
Mercedes-Benz,Sprinter Van,459 000 km,2011,Manuelle,Traction,7 cv,Diesel,40 000
Volkswagen,Amarok,81 000 km,2013,Manuelle,Traction,11 cv,Essence,53 000
Peugeot,Landtrek Double Cabine,34 000 km,2022,Manuelle,Traction,6 cv,Diesel,95 000
KIA,Sportage,232 000 km,2011,Automatique,Traction,11 cv,Essence,47 000
BMW,Série 5,151 000 km,2016,Automatique,Traction,9 cv,Essence,120 000
Porsche,Cayenne,195 000 km,2012,Automatique,Traction,15 cv,Diesel,155 000
KIA,Rio Berline,35 000 km,2022,Automatique,Traction,6 cv,Essence,69 900
Mitsubishi,Pajero Sport,510 000 km,1999,Manuelle,Traction,9 cv,Diesel,45 000
DFSK,K01,81 000 km,2018,Manuelle,Traction,7 cv,Essence,22 000
Great,Wall M4,51 000 km,2019,Manuelle,Traction,6 cv,Essence,45 000
Chery,E3,95 000 km,2018,Manuelle,Traction,6 cv,Essence,32 000
BMW,Série 1,105 000 km,2016,Manuelle,Traction,6 cv,Essence,59 000
Mercedes-Benz,Classe C,247 000 km,2015,Automatique,Traction,8 cv,Essence,90 000
Peugeot,3008,261 000 km,2010,Manuelle,Traction,7 cv,Essence,32 000
BMW,Série 2 Gran Coupé,61 000 km,2020,Automatique,Traction,8 cv,Essence,120 000
Nissan,Patrol,359 000 km,2006,Manuelle,Traction,12 cv,Diesel,66 000
Audi,A4,233 000 km,2011,Manuelle,Traction,7 cv,Essence,46 000
Peugeot,traveller,98 000 km,2019,Manuelle,Traction,5 cv,Diesel,85 000
Mercedes-Benz,CLA,239 000 km,2017,Automatique,Traction,7 cv,Essence,92 000
Mercedes-Benz,Classe E,199 000 km,2010,Automatique,Traction,11 cv,Essence,59 000
Citroën,C4 Coupé,300 000 km,2009,Manuelle,Traction,7 cv,Essence,21 000
BMW,X2,75 000 km,2020,Automatique,Traction,8 cv,Essence,134 000
Fiat,500 Dolcevita,21 000 km,2021,Automatique,Traction,4 cv,Essence,55 000
KIA,Sportage GT-Line,90 000 km,2018,Automatique,Traction,10 cv,Diesel,110 000
Haval,H6 Luxury,110 000 km,2019,Automatique,Traction,9 cv,Essence,77 000
Land,Rover Range Rover Sport,211 000 km,2007,Automatique,Traction,32 cv,Essence,88 000
Fiat,500,20 000 km,2020,Manuelle,Traction,4 cv,Hybride,59 000
KIA,Sorento,209 000 km,2015,Automatique,Traction,12 cv,Diesel,89 000
Ford,Kuga,208 000 km,2017,Automatique,Traction,11 cv,Essence,65 000
Peugeot,208 3P,74 000 km,2016,Manuelle,Traction,5 cv,Essence,38 500
Land,Rover Range Rover Sport,47 000 km,2019,Automatique,Traction,17 cv,Hybride,340 000
Volkswagen,Golf 6,295 000 km,2011,Automatique,Traction,5 cv,Diesel,41 000
BAIC,YX Kenbo S2,114 000 km,2018,Manuelle,Traction,7 cv,Essence,38 000
Mercedes-Benz,CLA,70 000 km,2021,Automatique,Traction,7 cv,Essence,149 500
Haval,H6 Luxury,75 000 km,2020,Automatique,Traction,9 cv,Essence,79 900
Mazda,CX-9,160 000 km,2011,Automatique,Traction,20 cv,Essence,38 000
Mercedes-Benz,Classe E Avantgarde,238 000 km,2009,Automatique,Propulsion,9 cv,Diesel,64 500
Citroën,Jumpy Combi,124 000 km,2018,Manuelle,Traction,6 cv,Diesel,85 000
KIA,Sportage GT-Line,94 000 km,2019,Automatique,Traction,11 cv,Essence,104 000
Suzuki,Vitara,270 000 km,1993,Automatique,Traction,9 cv,Essence,33 000
Mercedes-Benz,Classe A Progressive,137 000 km,2019,Automatique,Traction,7 cv,Essence,85 900
Chery,Tiggo 8,44 000 km,2022,Automatique,Traction,9 cv,Essence,79 000
Audi,A4,265 000 km,2012,Automatique,Traction,7 cv,Essence,47 000
KIA,Sportage,324 000 km,2012,Automatique,Traction,11 cv,Diesel,54 000
Honda,CR-V,158 000 km,2019,Automatique,Traction,11 cv,Essence,85 000
Volkswagen,Golf 6,252 000 km,2012,Automatique,Traction,5 cv,Diesel,42 000
Land,Rover Discovery Sport,126 000 km,2015,Automatique,Traction,9 cv,Diesel,122 000
Mercedes-Benz,GLA,65 000 km,2016,Automatique,Traction,8 cv,Essence,118 000
Citroën,C3,51 000 km,2019,Manuelle,Traction,4 cv,Essence,44 000
Hyundai,Tucson Hybride,40 000 km,2022,Automatique,Traction,7 cv,Hybride,167 000
Volvo,XC60,295 000 km,2012,Automatique,Traction,10 cv,Diesel,48 000
Fiat,Ducato,89 000 km,2019,Manuelle,Traction,8 cv,Diesel,64 000
Mercedes-Benz,Classe A,182 000 km,2013,Manuelle,Traction,7 cv,Essence,62 000
Ford,Ranger,191 000 km,2014,Automatique,Traction,7 cv,Diesel,68 000
Haval,H6 Luxury,227 000 km,2018,Automatique,Traction,9 cv,Essence,46 500
Citroën,Jumpy Fourgon,170 000 km,2019,Manuelle,Traction,7 cv,Diesel,65 000
Renault,Express,46 000 km,2023,Manuelle,Traction,5 cv,Diesel,50 000
Audi,Q7,180 000 km,2010,Automatique,Traction,16 cv,Diesel,69 000
Mercedes-Benz,CLA,20 000 km,2018,Automatique,Traction,7 cv,Essence,115 000
Land,Rover Range Rover Velar R-Dynamic,26 000 km,2022,Automatique,Traction,16 cv,Essence,380 000
BMW,X6,85 000 km,2015,Automatique,Traction,34 cv,Essence,335 000
Seat,Leon FR,193 000 km,2011,Manuelle,Traction,7 cv,Essence,37 500
Lada,Niva,34 000 km,2018,Manuelle,Traction,7 cv,Essence,48 500
Mercedes-Benz,Classe S,151 000 km,2008,Automatique,Traction,19 cv,Essence,95 000
Peugeot,3008,230 000 km,2010,Manuelle,Traction,7 cv,Essence,33 000
Audi,A4,241 000 km,2008,Automatique,Traction,11 cv,Essence,50 000
Peugeot,3008,132 000 km,2018,Automatique,Traction,9 cv,Essence,84 900
Jaguar,XJL,163 000 km,2014,Automatique,Traction,16 cv,Essence,120 000
Chery,Tiggo 3X Luxury,15 000 km,2022,Automatique,Traction,6 cv,Essence,62 000
Citroën,C3 Shine,98 000 km,2017,Manuelle,Traction,4 cv,Essence,36 900
Haval,H6 Luxury,100 000 km,2017,Automatique,Traction,9 cv,Essence,65 000
Mercedes-Benz,CLA,59 000 km,2019,Automatique,Traction,7 cv,Essence,134 900
BMW,Série 3,152 000 km,2016,Automatique,Traction,7 cv,Essence,85 000
Seat,Leon Style Plus,118 000 km,2017,Manuelle,Traction,6 cv,Essence,62 000
Volkswagen,Golf 7,191 000 km,2015,Manuelle,Traction,5 cv,Essence,49 000
Porsche,Cayenne,212 000 km,2009,Automatique,Traction,30 cv,Essence,78 000
BMW,Série 4 Coupé,151 000 km,2014,Automatique,Traction,10 cv,Essence,86 000
Audi,A4,175 000 km,2014,Manuelle,Traction,7 cv,Essence,50 000
Mahindra,KUV 100 K6+,87 000 km,2020,Manuelle,Traction,5 cv,Essence,36 000
Dongfeng,SX3,32 000 km,2021,Manuelle,Traction,8 cv,Essence,65 000
Mercedes-Benz,Classe E,276 000 km,2003,Automatique,Traction,10 cv,Essence,32 000
Volkswagen,Jetta,349 000 km,2010,Manuelle,Traction,6 cv,Diesel,32 000
Skoda,Octavia,30 000 km,2022,Automatique,Traction,8 cv,Essence,114 900
Haval,H6 Luxury,120 000 km,2020,Automatique,Traction,9 cv,Essence,77 000
Peugeot,3008 Allure,169 000 km,2020,Automatique,Traction,7 cv,Essence,80 000
Volkswagen,Amarok,264 000 km,2012,Manuelle,Traction,7 cv,Diesel,48 000
BMW,X3,219 000 km,2014,Automatique,Traction,11 cv,Essence,75 000
Ford,Ranger XLT,248 000 km,2014,Manuelle,Traction,7 cv,Diesel,55 000
Audi,Q7,249 000 km,2006,Automatique,Traction,16 cv,Diesel,60 000
Haval,Jolion,25 000 km,2021,Automatique,Traction,9 cv,Essence,91 500
KIA,Sportage,101 000 km,2018,Automatique,Traction,8 cv,Essence,85 000
Renault,Kadjar Intens,85 000 km,2021,Automatique,Traction,7 cv,Essence,78 000
Land,Rover Range Rover Sport,82 000 km,2019,Automatique,Traction,17 cv,Essence,350 000
KIA,Sportage,176 000 km,2016,Automatique,Traction,8 cv,Essence,79 000
KIA,Sorento,210 000 km,2012,Automatique,Traction,12 cv,Diesel,60 000
Infiniti,FX,190 000 km,2008,Automatique,Traction,20 cv,Essence,52 000
Ford,Transit,256 000 km,2017,Manuelle,Traction,6 cv,Diesel,38 000
BMW,Série 3,201 000 km,2014,Automatique,Traction,7 cv,Essence,69 000
BMW,Série 3,167 000 km,2016,Automatique,Traction,7 cv,Essence,80 000
KIA,Sportage GT-Line,132 000 km,2018,Automatique,Traction,10 cv,Diesel,110 000
Nissan,Qashqai,121 000 km,2015,Automatique,Traction,6 cv,Essence,69 500
MG,ZS Luxury,67 000 km,2022,Automatique,Traction,7 cv,Essence,77 900
Hyundai,Veloster,140 000 km,2016,Automatique,Traction,8 cv,Essence,44 900
Mazda,6,125 000 km,2014,Automatique,Traction,9 cv,Essence,51 000
Mercedes-Benz,CLS AMG,178 000 km,2009,Automatique,Propulsion,15 cv,Essence,57 500
Haval,H6 Luxury,55 000 km,2019,Automatique,Traction,9 cv,Essence,85 000
BMW,Série 5 F10,153 000 km,2012,Automatique,Traction,10 cv,Essence,79 900
Ford,F 250 V8,90 000 km,2005,Automatique,Traction,24 cv,Diesel,75 500
Mercedes-Benz,Classe C C180,143 000 km,2018,Automatique,Traction,9 cv,Essence,119 000
Renault,Koleos,96 000 km,2017,Manuelle,Traction,7 cv,Diesel,98 000
Mazda,3 High Grade,148 000 km,2017,Manuelle,Traction,6 cv,Essence,57 000
Mahindra,Scorpio SUV,328 000 km,2013,Manuelle,Traction,8 cv,Diesel,31 000
Mazda,3,135 000 km,2017,Manuelle,Traction,6 cv,Essence,58 500
BMW,Série 5 Luxury Line,30 000 km,2019,Automatique,Traction,10 cv,Essence,225 000
MG,GS,160 000 km,2017,Automatique,Traction,9 cv,Essence,58 000
Fiat,500 Cult Club,3 000 km,2023,Automatique,Traction,5 cv,Essence,62 000
Mercedes-Benz,Classe A AMG,60 000 km,2021,Automatique,Traction,7 cv,Essence,115 000
Volkswagen,Tiguan R-Line,160 000 km,2019,Automatique,Traction,8 cv,Essence,110 000
Volkswagen,Scirocco,200 000 km,2010,Manuelle,Traction,7 cv,Essence,40 000
Audi,A5 Sportback,80 000 km,2019,Automatique,Traction,8 cv,Essence,115 000
Hyundai,Tucson,81 000 km,2018,Automatique,Traction,10 cv,Diesel,100 000
Land,Rover Discovery,110 000 km,2016,Automatique,Propulsion,15 cv,Essence,125 000
Mercedes-Benz,Classe A,90 000 km,2021,Automatique,Traction,7 cv,Essence,110 000
Hyundai,Tucson Hybride Top Grade,16 000 km,2023,Automatique,Traction,7 cv,Diesel,178 000
Peugeot,508,145 000 km,2018,Automatique,Traction,7 cv,Essence,51 000
Mercedes-Benz,Classe C coupé AMG,120 000 km,2019,Automatique,Propulsion,8 cv,Essence,145 000
Land,Rover Range Rover Sport,90 000 km,2017,Automatique,Propulsion,19 cv,Diesel,230 000
Porsche,Cayenne,158 000 km,2015,Automatique,Propulsion,31 cv,Essence,220 000
BMW,Série 3,210 000 km,2015,Automatique,Propulsion,7 cv,Essence,67 000
Mercedes-Benz,Classe A,50 000 km,2020,Automatique,Traction,7 cv,Essence,108 000
Mercedes-Benz,Classe C,180 000 km,2013,Automatique,Propulsion,9 cv,Essence,66 000
Renault,Kadjar,98 000 km,2021,Automatique,Traction,7 cv,Essence,83 000
Land,Rover Range Rover Sport,208 000 km,2007,Automatique,Propulsion,13 cv,Diesel,85 000
Audi,Q3,40 000 km,2023,Automatique,Traction,8 cv,Hybride,200 000
KIA,Sorento,120 000 km,2016,Automatique,Traction,12 cv,Diesel,95 000
KIA,Sportage,140 000 km,2018,Automatique,Traction,10 cv,Diesel,118 000
Peugeot,Landtrek Double Cabine,124 000 km,2021,Manuelle,Traction,6 cv,Diesel,64 500
KIA,Rio 5p,91 000 km,2019,Manuelle,Traction,5 cv,Essence,52 000
KIA,Rio 5p GT-Line,41 000 km,2021,Manuelle,Traction,5 cv,Essence,63 000
BMW,Série 1 Business Line,111 074 km,2019,Automatique,Traction,7 cv,Essence,81 000
Hyundai,Creta,90 500 km,2020,Automatique,Traction,6 cv,Essence,74 000
BMW,X4,50 000 km,2019,Automatique,Intégrale,11 cv,Essence,243 000
Ford,Ecosport,77 000 km,2021,Automatique,Traction,7 cv,Essence,66 000
Audi,A3 Sportback,154 000 km,2016,Manuelle,Traction,6 cv,Essence,64 500
Mini,Countryman,101 000 km,2012,Automatique,Traction,7 cv,Essence,45 000
Seat,Arona,43 000 km,2020,Automatique,Traction,6 cv,Essence,75 000
Nissan,Qashqai,228 000 km,2010,Manuelle,Traction,6 cv,Diesel,37 000
Haval,Jolion,35 000 km,2021,Automatique,Traction,9 cv,Essence,84 000
Fiat,500,99 000 km,2017,Automatique,Traction,4 cv,Essence,38 500
Mercedes-Benz,GLC,39 000 km,2018,Automatique,Traction,9 cv,Diesel,220 000
Porsche,Macan,22 000 km,2023,Automatique,Intégrale,17 cv,Essence,360 000
Land,Rover Range Rover Sport,178 000 km,2013,Automatique,Intégrale,17 cv,Diesel,145 000
Renault,Clio,122 000 km,2021,Manuelle,Traction,5 cv,Essence,41 500
Peugeot,3008,93 000 km,2020,Automatique,Traction,7 cv,Essence,69 000
Volkswagen,Passat,101 000 km,2019,Automatique,Traction,8 cv,Essence,87 000
Audi,A5 Sportback S-Line,102 000 km,2021,Automatique,Traction,8 cv,Essence,142 000
Land,Rover Discovery,176 000 km,2015,Automatique,Intégrale,15 cv,Essence,114 000
BMW,X1 xLine,21 000 km,2023,Automatique,Traction,9 cv,Essence,175 000
BMW,X5,214 000 km,2018,Automatique,Intégrale,13 cv,Diesel,170 000
BMW,X3,69 500 km,2020,Automatique,Traction,8 cv,Diesel,220 000
Mercedes-Benz,Classe C,176 000 km,2016,Automatique,Traction,8 cv,Essence,90 000
Audi,A3 Berline,56 000 km,2022,Automatique,Traction,8 cv,Essence,119 000
Jaguar,XJL,51 500 km,2014,Automatique,Propulsion,16 cv,Essence,150 000
Mercedes-Benz,GLC Coupé,70 000 km,2020,Automatique,Traction,12 cv,Hybride,245 000
Audi,A7 Sportback Quattro V6,86 000 km,2022,Automatique,Intégrale,23 cv,Essence,295 000
Land,Rover Range Rover,52 000 km,2017,Automatique,Intégrale,43 cv,Essence,460 000
Mercedes-Benz,Classe A,37 000 km,2021,Automatique,Traction,8 cv,Hybride,137 000
BMW,Série 4 Coupé,20 500 km,2023,Automatique,Traction,10 cv,Essence,265 000
Hyundai,Tucson,11 500 km,2023,Automatique,Intégrale,10 cv,Essence,142 000
Chery,Tiggo 8,49 500 km,2022,Automatique,Traction,9 cv,Essence,92 500
Mercedes-Benz,GLA,91 000 km,2021,Automatique,Traction,9 cv,Essence,182 000
BMW,X2,38 000 km,2018,Automatique,Propulsion,7 cv,Essence,132 000
BMW,Série 4 Gran Coupé,108 000 km,2017,Automatique,Traction,7 cv,Essence,105 000
MG,HS,78 000 km,2021,Automatique,Traction,10 cv,Essence,77 500
Ford,Ecosport,46 500 km,2021,Manuelle,Traction,8 cv,Essence,64 000
Ford,Kuga,93 000 km,2019,Manuelle,Traction,8 cv,Essence,71 500
Volkswagen,Golf 7,98 500 km,2017,Manuelle,Traction,5 cv,Essence,62 500
KIA,Sportage,77 000 km,2021,Automatique,Traction,8 cv,Essence,103 000
KIA,Sportage,123 000 km,2019,Automatique,Traction,8 cv,Essence,76 000
Haval,H6 Luxury,99 000 km,2019,Automatique,Traction,9 cv,Essence,72 000
Mercedes-Benz,Classe C,35 000 km,2022,Automatique,Traction,9 cv,Essence,215 000
Mazda,3,130 000 km,2017,Manuelle,Traction,6 cv,Essence,46 000
Ford,Ecosport,94 000 km,2020,Manuelle,Traction,7 cv,Essence,66 000
Mercedes-Benz,GLB AMG,50 000 km,2022,Automatique,Traction,9 cv,Essence,175 000
Volkswagen,Polo R-Line,70 000 km,2020,Manuelle,Traction,4 cv,Essence,65 500
Volkswagen,Golf 7 BVA,200 000 km,2020,Automatique,Traction,5 cv,Essence,69 000
BMW,Série 1 Pack Sport M,165 000 km,2016,Automatique,Traction,7 cv,Essence,75 000
Hyundai,Tucson Top Grade,40 000 km,2022,Automatique,Intégrale,10 cv,Essence,147 000
Lada,4x4 Urban,58 000 km,2020,Manuelle,Traction,7 cv,Essence,41 000
Mercedes-Benz,Classe X,68 000 km,2020,Automatique,Traction,8 cv,Diesel,205 000
Seat,Arona Xperience,47 000 km,2022,Automatique,Traction,6 cv,Essence,81 000
Toyota,Corolla Dynamic,85 000 km,2020,Automatique,Traction,6 cv,Essence,69 000
Fiat,500X Pop Star,60 000 km,2018,Automatique,Traction,7 cv,Essence,65 000
Land,Rover Discovery,170 000 km,2015,Automatique,Traction,15 cv,Essence,115 000
Haval,Jolion,40 000 km,2021,Automatique,Traction,9 cv,Essence,88 000
Toyota,C-HR,130 000 km,2018,Automatique,Traction,6 cv,Essence,73 000
Nissan,Juke Tekna,6 000 km,2024,Automatique,Traction,6 cv,Essence,92 500
Mercedes-Benz,Classe C AMG,20 000 km,2023,Automatique,Traction,9 cv,Essence,Sous leasing                    255 100
Mercedes-Benz,CLA Kit Amg 200,150 000 km,2020,Manuelle,Traction,9 cv,Essence,129 000
Seat,Ibiza Xcellence,68 000 km,2021,Manuelle,Traction,6 cv,Essence,62 000
KIA,Rio 5p SX,70 000 km,2020,Manuelle,Traction,5 cv,Essence,57 500
MG,ZS Luxury,20 000 km,2022,Automatique,Traction,7 cv,Essence,72 000
Chery,Tiggo 7 Pro,0 km,2024,Automatique,Traction,9 cv,Essence,101 000
Audi,Q3 BVA,3 000 km,2023,Automatique,Traction,9 cv,Essence,165 000
Peugeot,408 GT,10 000 km,2024,Automatique,Traction,11 cv,Essence,155 000
Jaguar,XF Luxury,120 000 km,2014,Automatique,Traction,15 cv,Essence,87 000
BMW,Série 6 Face Lift,190 000 km,2009,Automatique,Traction,17 cv,Essence,85 000
Land,Rover Range Rover Sport HSE Dynamic,300 000 km,2016,Automatique,Traction,19 cv,Diesel,189 000
KIA,Rio 5p GT-Line,70 000 km,2021,Manuelle,Traction,5 cv,Essence,62 000
KIA,Sportage GT-Line,15 000 km,2024,Automatique,Traction,7 cv,Hybride,199 000
Mercedes-Benz,GLA 250e Pack AMG,26 000 km,2023,Automatique,Traction,8 cv,Hybride,225 000
Mahindra,Pick-up SC,120 000 km,2021,Manuelle,Traction,7 cv,Diesel,39 000
Peugeot,3008,112 000 km,2020,Automatique,Traction,7 cv,Essence,69 000
KIA,Rio 5p GT-Line,9 000 km,2023,Manuelle,Traction,5 cv,Essence,73 000
Mercedes-Benz,Classe C Pack AMG Pack night,120 000 km,2019,Automatique,Traction,10 cv,Hybride,152 000
Peugeot,3008 GT GT-line,125 000 km,2020,Automatique,Traction,6 cv,Essence,89 000
MG,HS Luxury,87 000 km,2020,Automatique,Traction,9 cv,Essence,77 900
Mercedes-Benz,GLA AMG,90 000 km,2021,Automatique,Traction,9 cv,Essence,173 000
BMW,Série 4 Coupé 420i,180 000 km,2015,Automatique,Traction,10 cv,Essence,87 000
Chery,Tiggo 7 Pro,40 000 km,2022,Automatique,Traction,9 cv,Essence,88 000
Suzuki,Jimny,20 000 km,2023,Automatique,Traction,6 cv,Essence,98 000
Mercedes-Benz,CLA Kit AMG,124 000 km,2014,Automatique,Traction,9 cv,Essence,83 000
Citroën,C3 Shine,88 000 km,2018,Manuelle,Traction,4 cv,Essence,37 500
Mercedes-Benz,Classe C coupé AMG,200 000 km,2012,Automatique,Traction,9 cv,Essence,63 000
Renault,Clio 4,120 000 km,2021,Manuelle,Traction,5 cv,Essence,45 000
Mini,3 portes One,200 000 km,2009,Manuelle,Traction,5 cv,Essence,29 000
Hyundai,Tucson High Grade,19 000 km,2023,Automatique,Traction,9 cv,Essence,129 000
Nissan,Juke Tekna,53 000 km,2021,Automatique,Traction,6 cv,Essence,87 000
Jeep,Renegade Limited,88 000 km,2021,Automatique,Traction,8 cv,Essence,92 000
Mercedes-Benz,Classe C AMG,120 000 km,2019,Automatique,Traction,10 cv,Hybride,152 000
Ford,Mondeo Hybride,34 000 km,2020,Automatique,Traction,7 cv,Hybride,109 000
Land,Rover Range Rover Evoque,145 000 km,2018,Automatique,Traction,8 cv,Diesel,120 000
Volkswagen,Passat,160 000 km,2016,Manuelle,Traction,6 cv,Essence,59 000
Haval,H6,16 000 km,2022,Automatique,Traction,8 cv,Essence,117 000
Haval,H6 Luxury,55 000 km,2021,Automatique,Traction,9 cv,Essence,85 000
Volkswagen,Golf 8 1.4,40 000 km,2022,Automatique,Traction,6 cv,Essence,105 000
Jaguar,F-Pace R_Dynamic,165 000 km,2017,Automatique,Traction,10 cv,Diesel,179 000
Renault,Kadjar,140 000 km,2018,Automatique,Traction,7 cv,Essence,70 000
Toyota,Corolla,24 000 km,2022,Automatique,Traction,6 cv,Essence,79 000
Peugeot,308,128 000 km,2020,Manuelle,Traction,6 cv,Essence,47 000
Mercedes-Benz,Classe C coupé AMG,130 000 km,2018,Automatique,Traction,8 cv,Essence,167 000
Citroën,C3 Shine,45 000 km,2020,Manuelle,Traction,4 cv,Essence,47 500
Ford,Focus Titanium,200 000 km,2015,Manuelle,Traction,6 cv,Essence,40 000
Porsche,Panamera,82 000 km,2011,Automatique,Traction,20 cv,Essence,178 000
KIA,Seltos,130 000 km,2021,Automatique,Traction,8 cv,Essence,89 000
Seat,Ibiza FR,40 000 km,2023,Automatique,Propulsion,6 cv,Essence,81 000
Alfa,Romeo Giulietta,37 000 km,2019,Automatique,Traction,7 cv,Essence,77 000
Land,Rover Discovery R-DYNAMIC,87 000 km,2020,Automatique,Traction,8 cv,Diesel,235 000
Volkswagen,Golf 7 Confortline,190 000 km,2013,Automatique,Traction,6 cv,Essence,49 000
Renault,Megane 4 Diesel,125 000 km,2020,Manuelle,Traction,5 cv,Diesel,64 500
KIA,Rio 5p GT-Line,60 000 km,2021,Manuelle,Traction,5 cv,Essence,65 000
Fiat,Fiorino,120 000 km,2021,Manuelle,Traction,5 cv,Diesel,35 000
Dacia,Duster Techroad,35 000 km,2020,Manuelle,Traction,6 cv,Essence,75 000
BMW,Série 5 530e Xdrive Pack m,50 000 km,2021,Automatique,Traction,10 cv,Hybride,278 000
BMW,Série 4 Gran Coupé 418 Luxury,133 000 km,2016,Automatique,Traction,7 cv,Essence,97 000
Volkswagen,Passat R-Line DSG,40 000 km,2022,Automatique,Traction,7 cv,Essence,125 000
