Marque,Modèle,year,road,boite,horsepower,fuel,nbre_portes,cylindrée,transmission,Prix
BMW,Série 7 740I FACE-LIFT,2008,220 000 km,Automatique,22 cv,Essence,5,1799,Traction,55
Mercedes-Benz,Classe A,2015,123 000 km,Automatique,6 cv,Essence,4,1700,Traction,69
Peugeot,Landtrek Simple Cabine Avec cabine frigorifique,2023,45 000 km,Manuelle,6 cv,Diesel,,,Propulsion,78
Chery,Tiggo 8 Pro,2022,43 000 km,Automatique,11 cv,Essence,4,1998,Propulsion,95
Mercedes-Benz,GLC,2018,130 000 km,Automatique,10 cv,Hybride,4,1000,Traction,197
Peugeot,5008,2019,160 000 km,Manuelle,7 cv,Essence,4,1298,Traction,78
Mercedes-Benz,Classe E,2020,158 000 km,Automatique,8 cv,Diesel,5,2143,Traction,168
Mercedes-Benz,Classe E Business,2010,300 000 km,Manuelle,7 cv,Diesel,5,1500,Propulsion,72
Hyundai,Grand i10 High Grade,2023,47 000 km,Manuelle,5 cv,Essence,5,1496,Traction,48
Citroën,C4 Dynamique,2017,87 000 km,Manuelle,5 cv,Essence,4,1598,Traction,45
BMW,Série 3 Confort Luxury Line,2016,145 000 km,Automatique,7 cv,Essence,5,1250,Propulsion,79
KIA,Picanto GT-Line,2021,85 000 km,Automatique,5 cv,Essence,5,1197,Traction,49
KIA,Rio 5p,2021,117 000 km,Manuelle,5 cv,Essence,5,1998,Traction,56
Volkswagen,Golf 8,2021,69 000 km,Manuelle,6 cv,Essence,5,899,Traction,87
BMW,Série 5,2015,280 000 km,Automatique,9 cv,Essence,5,1500,Traction,65
Land,Rover Range Rover Velar,2019,19 000 km,Automatique,15 cv,Essence,4,1598,Traction,289
Suzuki,Swift GLX Pack,2021,80 000 km,Manuelle,5 cv,Essence,5,1800,Traction,43
Fiat,Fiorino Utilitaire,2023,13 000 km,Manuelle,5 cv,Diesel,5,1197,Traction,44
Hyundai,i20 High Grade,2022,54 000 km,Manuelle,5 cv,Essence,5,1999,Traction,64
Volkswagen,Polo Smartline,2021,63 000 km,Manuelle,4 cv,Essence,3,2000,Traction,53
Seat,Ibiza,2021,134 000 km,Manuelle,4 cv,Essence,4,1598,Traction,46
KIA,Sorento,2015,352 000 km,Automatique,12 cv,Diesel,5,1599,Traction,72
Dacia,Dokker Van Lux Tolée Plus,2022,140 000 km,Manuelle,5 cv,Essence,4,1200,Traction,39
Dongfeng,SX3 Confort,2020,65 000 km,Manuelle,8 cv,Essence,5,1591,Traction,52
Renault,Megane,2020,156 000 km,Automatique,5 cv,Essence,4,2000,Traction,49
BMW,X5 Confort xLine,2020,112 000 km,Automatique,14 cv,Essence,4,1598,Traction,265
Land,Rover Range Rover Evoque,2012,137 000 km,Automatique,15 cv,Essence,3,1598,Intégrale,84
Mercedes-Benz,Classe E,2010,197 000 km,Automatique,11 cv,Essence,5,1000,Propulsion,67
KIA,Picanto,2021,28 000 km,Automatique,4 cv,Essence,5,1995,Traction,46
Mercedes-Benz,Classe A,2020,100 000 km,Automatique,7 cv,Essence,5,2000,Traction,108
Audi,Q5,2008,369 000 km,Automatique,15 cv,Diesel,4,2000,Intégrale,70
Peugeot,5008,2023,7 000 km,Automatique,9 cv,Essence,4,1699,Traction,138
BMW,X2,2020,76 000 km,Automatique,8 cv,Essence,2,1199,Traction,122
Volkswagen,Golf 8 Style,2021,100 000 km,Manuelle,6 cv,Essence,5,998,Traction,88
Porsche,Cayenne,2008,207 000 km,Automatique,21 cv,Essence,4,1798,Intégrale,68
Peugeot,Partner,2014,218 000 km,Manuelle,5 cv,Diesel,5,1699,Traction,27
Seat,Leon,2013,207 000 km,Manuelle,6 cv,Essence,5,2143,Traction,40
Toyota,C-HR,2017,155 000 km,Automatique,6 cv,Essence,4,1498,Traction,69
KIA,Rio 5p,2021,68 000 km,Manuelle,5 cv,Essence,5,2000,Traction,62
Ford,Ranger,2019,229 000 km,Automatique,7 cv,Diesel,5,1200,Propulsion,134
Volkswagen,Golf 8,2020,75 000 km,Manuelle,7 cv,Essence,5,1600,Traction,122
Hyundai,Creta,2019,76 000 km,Manuelle,7 cv,Essence,4,1600,Traction,74
Audi,A5 Sportback Ambition Luxe,2015,132 000 km,Automatique,10 cv,Essence,4,1598,Traction,89
Audi,A4,2014,199 000 km,Manuelle,7 cv,Essence,5,999,Traction,53
BAIC,YX Kenbo S3,2017,108 000 km,Manuelle,7 cv,Essence,5,1595,Intégrale,34
MG,GS,2018,149 000 km,Automatique,9 cv,Essence,4,1500,Intégrale,51
Nissan,Navara,2008,295 000 km,Manuelle,8 cv,Diesel,5,1200,Intégrale,47
Volkswagen,Golf 7,2019,79 000 km,Manuelle,6 cv,Essence,4,1498,Traction,75
Audi,A6,2016,124 000 km,Automatique,10 cv,Essence,4,1197,Traction,102
Ford,Ecosport,2019,151 000 km,Automatique,7 cv,Essence,5,1000,Traction,55
Ford,Focus Rs,2018,114 000 km,Manuelle,6 cv,Essence,5,1490,Traction,54
Mitsubishi,Pajero,2001,384 000 km,Automatique,10 cv,Diesel,5,1149,Intégrale,59
Land,Rover Range Rover Evoque,2021,43 000 km,Automatique,13 cv,Hybride,4,1600,Intégrale,205
Nissan,Patrol,1993,166 000 km,Manuelle,11 cv,Diesel,4,999,Intégrale,54
Porsche,Cayenne,2010,249 000 km,Automatique,15 cv,Diesel,5,1599,Intégrale,152
Ssangyong,Tivoli,2017,40 000 km,Manuelle,7 cv,Essence,5,1149,Traction,60
KIA,Sportage GT-Line,2019,124 000 km,Automatique,8 cv,Diesel,5,1000,Traction,97
Mercedes-Benz,Classe E,2022,15 000 km,Automatique,9 cv,Essence,4,1398,Propulsion,248
Renault,Kadjar Intens,2018,141 000 km,Automatique,7 cv,Essence,5,3000,Traction,69
Volkswagen,Polo,2020,128 000 km,Manuelle,4 cv,Essence,5,1000,Traction,42
Mazda,BT-50,2015,162 000 km,Manuelle,9 cv,Diesel,4,899,Intégrale,65
Nissan,Qashqai,2016,148 000 km,Manuelle,6 cv,Essence,5,1197,Traction,60
Ford,Ranger,2019,223 000 km,Automatique,8 cv,Diesel,4,1198,Intégrale,155
Peugeot,508 GT Line,2020,115 000 km,Automatique,9 cv,Essence,4,1600,Traction,116
Hyundai,Veloster,2019,87 000 km,Automatique,11 cv,Essence,5,1499,Traction,112
Mercedes-Benz,Classe C,2017,137 000 km,Automatique,8 cv,Essence,5,1399,Propulsion,115
Fiat,Doblo,2021,38 000 km,Manuelle,5 cv,Diesel,4,3000,Traction,44
Volkswagen,Golf 7,2017,135 000 km,Automatique,6 cv,Essence,4,2998,Traction,69
Mercedes-Benz,Classe C AMG,2022,29 000 km,Automatique,9 cv,Essence,5,1395,Propulsion,228
Mercedes-Benz,GLA AMG,2016,65 000 km,Automatique,8 cv,Essence,5,1200,Traction,118
Volkswagen,Amarok Highline Double Cabine,2017,215 000 km,Automatique,7 cv,Diesel,5,1461,Traction,94
Land,Rover Range Rover Evoque,2016,138 000 km,Automatique,15 cv,Essence,5,1197,Traction,97
BMW,Série 5 Confort Luxury,2016,119 000 km,Automatique,9 cv,Essence,5,1000,Traction,109
Hyundai,Tucson Hybride,2021,51 000 km,Automatique,7 cv,Hybride,5,1995,Traction,145
BMW,Série 5 Luxury Line,2018,73 000 km,Automatique,10 cv,Essence,4,1598,Propulsion,128
Volkswagen,Golf 8 Style,2021,20 000 km,Manuelle,6 cv,Essence,4,1199,Traction,94
Mercedes-Benz,Classe C coupé AMG,2021,80 000 km,Automatique,8 cv,Essence,4,1598,Propulsion,158
Mercedes-Benz,GLA AMG,2021,49 000 km,Automatique,8 cv,Hybride,4,1598,Traction,169
Audi,Q2 S-Line,2021,30 000 km,Automatique,8 cv,Essence,3,1599,Traction,114
Honda,CR-V LX,2022,60 000 km,Automatique,10 cv,Essence,4,1598,Intégrale,138
Nissan,Qashqai Tekna High,2018,150 000 km,Automatique,6 cv,Essence,4,1198,Traction,68
Volkswagen,Golf 7 Confortline,2020,145 000 km,Automatique,6 cv,Essence,5,1500,Traction,64
Volkswagen,Golf 7 Join,2020,120 000 km,Automatique,6 cv,Essence,5,1598,Traction,76
BMW,X2 Lounge,2024,0 km,Automatique,8 cv,Essence,4,1598,Traction,199
Land,Rover Range Rover Evoque R-Dynamic,2021,59 000 km,Automatique,8 cv,Diesel,5,1999,Intégrale,169
Volkswagen,Golf 8 R-Line,2022,12 000 km,Manuelle,8 cv,Hybride,,,Traction,110
Mercedes-Benz,GLA,2018,30 000 km,Automatique,7 cv,Essence,4,1595,Traction,124
Mercedes-Benz,GLC Coupé AMG,2021,50 000 km,Automatique,12 cv,Hybride,5,2987,Intégrale,259
Mercedes-Benz,Classe C AMG +,2021,60 000 km,Automatique,10 cv,Essence,5,1600,Intégrale,169
Volkswagen,T-roc 1.5,2024,9 000 km,Automatique,8 cv,Hybride,5,1495,Traction,155
Mercedes-Benz,Classe C AMG,2022,32 000 km,Automatique,12 cv,Essence,5,918,Propulsion,197
Land,Rover Range Rover Evoque R-Dynamic S,2021,59 000 km,Automatique,16 cv,Hybride,5,2000,Intégrale,218
Volkswagen,Golf 8,2020,40 000 km,Automatique,8 cv,Hybride,5,2000,Propulsion,115
Mercedes-Benz,Classe C AMG +,2024,11 000 km,Automatique,9 cv,Hybride,04,2000,Propulsion,248
Suzuki,Jimny,2021,60 000 km,Automatique,6 cv,Essence,4,3500,Intégrale,89
Mercedes-Benz,Classe E coupé AMG,2010,180 000 km,Automatique,19 cv,Essence,5,1197,Traction,68
Volkswagen,T-roc Toit ouvrant,2020,44 000 km,Manuelle,6 cv,Essence,4,1599,Propulsion,94
Mercedes-Benz,Classe C AMG,2016,180 000 km,Automatique,8 cv,Essence,5,1199,Propulsion,99
Mercedes-Benz,Classe E AMG,2024,0 km,Automatique,10 cv,Hybride,4,1498,Intégrale,435
Mercedes-Benz,Classe C,2016,175 000 km,Automatique,8 cv,Essence,4,2000,Propulsion,105
BMW,Série 5 Luxury Line,2017,155 000 km,Automatique,10 cv,Essence,5,1998,Propulsion,124
Mercedes-Benz,Classe A A200,2024,8 000 km,Automatique,8 cv,Hybride,2,2000,Traction,169
KIA,Sportage GT-Line,2023,40 000 km,Automatique,10 cv,Hybride,4,1498,Intégrale,149
Land,Rover Range Rover Velar R-Dynamic,2019,33 000 km,Automatique,17 cv,Essence,4,1600,Intégrale,268
BMW,Série 7 B7 ALPINA,2011,115 000 km,Automatique,17 cv,Essence,2,3998,Propulsion,158
Volkswagen,Golf 8 ÉDITION,2021,45 000 km,Manuelle,6 cv,Essence,5,6000,Traction,89
Mercedes-Benz,Classe E AMG,2024,0 km,Automatique,10 cv,Hybride,4,900,Intégrale,450
Mercedes-Benz,GLC Coupé AMG,2024,0 km,Automatique,11 cv,Essence,4,1000,Intégrale,415
Mercedes-Benz,CLA AMG,2020,42 000 km,Automatique,8 cv,Hybride,3,2498,Traction,169
Mercedes-Benz,Classe A A 200,2018,57 000 km,Automatique,9 cv,Essence,5,2000,Traction,124
Mercedes-Benz,CLA AMG,2023,30 000 km,Automatique,7 cv,Essence,4,1200,Traction,188
Porsche,Panamera 4S E-hybride plugin,2021,32 000 km,Automatique,33 cv,Hybride,5,2000,Intégrale,535
Mercedes-Benz,GLC Coupé AMG,2016,106 000 km,Automatique,13 cv,Essence,4,1600,Intégrale,225
Audi,Q3 Sportback hybrid,2021,50 000 km,Automatique,8 cv,Hybride,5,1197,Traction,175
Porsche,Cayenne Coupé,2020,37 000 km,Automatique,23 cv,Essence,4,1598,Intégrale,380
Jaguar,F-Pace R-Dynamic S,2021,27 000 km,Automatique,16 cv,Essence,5,2945,Intégrale,269
BMW,X1 FACELIFT PACK M,2020,87 000 km,Automatique,8 cv,Essence,5,2497,Traction,129
Volkswagen,Golf 7 Smartline,2019,89 000 km,Manuelle,6 cv,Essence,4,3500,Traction,75
Seat,Ibiza Style Plus,2021,100 000 km,Manuelle,4 cv,Essence,5,3000,Traction,53
KIA,Sportage Hybride,2020,53 000 km,Automatique,11 cv,Hybride,4,2000,Intégrale,117
KIA,Picanto,2013,100 000 km,Automatique,5 cv,Essence,4,1598,Traction,32
Fiat,Fiorino,2021,77 000 km,Manuelle,6 cv,Diesel,4,2499,Traction,35
Chery,Tiggo 7 Pro,2019,123 000 km,Automatique,9 cv,Essence,5,1399,Traction,64
KIA,Sorento,2013,273 000 km,Automatique,12 cv,Diesel,4,1497,Traction,58
KIA,Rio 5p,2014,180 000 km,Manuelle,5 cv,Essence,5,1200,Traction,37
Peugeot,208,2022,46 000 km,Manuelle,5 cv,Essence,5,1200,Traction,48
Citroën,C4,2016,154 000 km,Manuelle,6 cv,Essence,3,899,Traction,36
Fiat,500,2012,199 000 km,Automatique,4 cv,Essence,5,1400,Traction,29
Citroën,C4,2015,218 000 km,Manuelle,6 cv,Essence,5,1000,Traction,34
Suzuki,Jimny,2020,75 000 km,Manuelle,6 cv,Essence,5,1598,Traction,82
Seat,Ibiza Style,2021,169 000 km,Manuelle,4 cv,Essence,5,1598,Traction,47
Chevrolet,Spark,2019,163 000 km,Manuelle,5 cv,Essence,5,1559,Traction,36
Honda,City,2021,49 000 km,Automatique,6 cv,Essence,5,1500,Traction,65
Mazda,3,2015,94 000 km,Manuelle,6 cv,Essence,5,1199,Traction,48
Isuzu,D-Max Simple Cabine,2021,94 000 km,Manuelle,8 cv,Essence,5,1800,Traction,60
KIA,Sportage GT-Line,2020,79 000 km,Automatique,7 cv,Diesel,2,2800,Traction,120
Toyota,Agya,2022,21 000 km,Manuelle,4 cv,Essence,5,1598,Traction,36
BMW,Série 1 F20,2012,120 000 km,Automatique,7 cv,Essence,5,2500,Traction,53
Fiat,500,2015,127 000 km,Manuelle,4 cv,Essence,5,2000,Traction,33
Fiat,500,2021,93 000 km,Manuelle,4 cv,Essence,5,2000,Traction,48
BYD,Tang Supreme,2023,53 000 km,Automatique,11 cv,Essence,5,1998,Traction,135
Nissan,Juke,2021,55 000 km,Automatique,6 cv,Essence,4,2987,Traction,85
Peugeot,2008 Allure,2014,141 000 km,Manuelle,5 cv,Essence,5,1197,Traction,31
BMW,Série 3 E90 restylé N45,2012,127 000 km,Automatique,7 cv,Essence,4,1500,Traction,51
Renault,Kwid Populaire,2022,45 000 km,Manuelle,4 cv,Essence,5,1199,Traction,36
BMW,Série 3 coupé,2010,253 000 km,Manuelle,7 cv,Essence,4,999,Traction,44
Suzuki,Celerio,2022,45 000 km,Manuelle,4 cv,Essence,4,1600,Traction,38
Renault,Clio,2016,167 000 km,Manuelle,5 cv,Essence,4,1197,Traction,38
Mazda,CX-9,2017,70 000 km,Automatique,15 cv,Essence,3,1560,Traction,119
Fiat,500,2009,192 000 km,Manuelle,4 cv,Essence,5,2000,Traction,26
Nissan,Micra,2017,120 000 km,Manuelle,5 cv,Essence,4,1000,Traction,29
Fiat,Doblo,2021,30 000 km,Manuelle,5 cv,Diesel,5,3000,Traction,43
Fiat,Ducato,2012,211 000 km,Manuelle,8 cv,Diesel,4,1699,Traction,45
Volkswagen,Golf 8,2021,5 000 km,Manuelle,6 cv,Essence,4,1600,Traction,85
Nissan,Qashqai,2010,279 000 km,Manuelle,6 cv,Diesel,5,1000,Traction,42
Mazda,CX-9 Signature,2019,155 000 km,Automatique,15 cv,Essence,5,1600,Traction,104
Ford,Fiesta Titanium,2013,223 000 km,Manuelle,5 cv,Essence,5,1998,Traction,29
Mercedes-Benz,CLA AMG,2020,100 000 km,Automatique,7 cv,Essence,5,1556,Traction,144
MG,HS Trophy,2022,111 000 km,Automatique,9 cv,Essence,3,1199,Traction,90
Ssangyong,Tivoli,2018,235 000 km,Automatique,8 cv,Essence,5,1499,Traction,48
Mahindra,KUV 100 K6+,2022,59 000 km,Manuelle,5 cv,Essence,4,1390,Traction,32
Hyundai,H-1,2006,999 999 km,Manuelle,10 cv,Essence,5,1600,Traction,18
Porsche,Panamera,2019,11 000 km,Automatique,22 cv,Essence,4,900,Traction,450
Hyundai,i20 High Grade,2023,21 000 km,Automatique,5 cv,Essence,2,2123,Traction,79
Skoda,Rapid,2019,46 000 km,Manuelle,5 cv,Essence,4,1800,Traction,55
Ford,Fiesta Titanium,2012,105 000 km,Manuelle,5 cv,Essence,5,1000,Traction,31
Volkswagen,Jetta Highline,2009,139 000 km,Automatique,7 cv,Essence,4,1597,Traction,34
Fiat,Panda City Cross,2020,70 000 km,Manuelle,4 cv,Essence,4,1599,Traction,41
Great,Wall M4,2018,100 000 km,Manuelle,7 cv,Essence,4,1600,Traction,39
Hyundai,Grand i10,2022,82 000 km,Manuelle,4 cv,Essence,4,2000,Traction,42
Mercedes-Benz,Classe C,2018,172 000 km,Automatique,8 cv,Essence,4,1498,Traction,105
KIA,Optima,2012,206 000 km,Automatique,10 cv,Essence,5,899,Traction,40
KIA,Rio Berline,2017,87 000 km,Manuelle,5 cv,Essence,4,1198,Traction,44
BMW,X6,2008,146 000 km,Automatique,22 cv,Essence,4,899,Traction,65
Ford,Ranger Raptor,2022,57 000 km,Automatique,7 cv,Diesel,4,1600,Traction,235
BMW,Série 5 Luxury,2022,58 000 km,Automatique,10 cv,Hybride,4,1998,Traction,236
Citroën,C4,2014,195 000 km,Manuelle,6 cv,Essence,4,1598,Traction,28
Hyundai,Tucson Hybride,2021,109 000 km,Automatique,7 cv,Hybride,5,1599,Traction,120
Honda,City,2021,89 000 km,Automatique,7 cv,Essence,5,2500,Traction,48
KIA,Picanto,2019,111 000 km,Automatique,5 cv,Essence,5,1200,Traction,40
Nissan,Juke,2015,125 000 km,Automatique,7 cv,Essence,,,Traction,47
Fiat,Siena,2004,300 000 km,Manuelle,5 cv,Essence,5,1450,Traction,17
Seat,Leon SC,2016,70 000 km,Manuelle,6 cv,Essence,4,3000,Traction,49
Jeep,Grand Cherokee,2016,132 000 km,Automatique,20 cv,Essence,5,1600,Traction,180
MG,ZS Luxe,2020,96 000 km,Automatique,7 cv,Essence,4,1595,Traction,65
Audi,Q2,2018,78 000 km,Automatique,7 cv,Essence,5,1500,Traction,99
Volkswagen,Polo,2006,144 000 km,Manuelle,4 cv,Essence,4,1798,Traction,21
Citroën,C3,2011,192 000 km,Manuelle,5 cv,Essence,5,2000,Traction,27
Volkswagen,Polo 8,2021,112 000 km,Manuelle,4 cv,Essence,5,1600,Traction,44
Peugeot,301,2018,195 000 km,Manuelle,5 cv,Essence,4,1999,Traction,25
Peugeot,208,2020,11 000 km,Manuelle,4 cv,Essence,5,1200,Traction,39
Hyundai,H-1,2002,224 000 km,Manuelle,8 cv,Diesel,4,1598,Traction,23
Peugeot,208,2022,37 000 km,Manuelle,4 cv,Essence,4,1000,Traction,43
Mercedes-Benz,ML,2009,240 000 km,Automatique,15 cv,Diesel,5,1000,Traction,80
KIA,Sportage,2016,143 000 km,Automatique,10 cv,Diesel,4,1500,Traction,100
Chery,Tiggo 3X,2022,74 000 km,Automatique,6 cv,Essence,5,1000,Traction,54
BMW,Série 3 F30 Pack Modern,2012,139 000 km,Automatique,10 cv,Essence,5,1000,Traction,61
Chevrolet,Groove Premier,2024,6 500 km,Automatique,6 cv,Essence,4,1500,Traction,76
Seat,Ibiza,2024,1 300 km,Automatique,6 cv,Essence,5,898,Traction,77
Suzuki,Swift,2023,14 000 km,Automatique,5 cv,Essence,5,1600,Traction,52
MG,5,2022,26 000 km,Automatique,7 cv,Essence,5,1000,Traction,70
Seat,Ibiza,2018,124 000 km,Manuelle,4 cv,Essence,4,1198,Traction,42
Volkswagen,Caddy,2016,85 000 km,Manuelle,5 cv,Diesel,5,1999,Traction,41
Citroën,C4,2013,199 000 km,Manuelle,6 cv,Essence,4,1332,Traction,31
Land,Rover Range Rover Sport,2008,184 000 km,Automatique,13 cv,Diesel,5,1197,Traction,79
Citroën,C3,2011,115 000 km,Manuelle,5 cv,Essence,4,3000,Traction,27
MG,3,2024,12 000 km,Manuelle,6 cv,Essence,5,1500,Traction,53
Hyundai,Autre H350 Solati,2021,26 000 km,Manuelle,8 cv,Diesel,4,1200,Traction,72
Volkswagen,Caddy,2022,38 000 km,Manuelle,7 cv,Diesel,4,3000,Traction,68
Mercedes-Benz,ML,2006,283 000 km,Automatique,15 cv,Diesel,4,2000,Traction,38
Toyota,Prado,2002,330 000 km,Manuelle,11 cv,Diesel,4,2000,Traction,50
Peugeot,207,2011,290 000 km,Manuelle,6 cv,Diesel,5,999,Traction,27
Seat,Leon,2020,159 000 km,Manuelle,6 cv,Essence,5,1599,Traction,64
Mercedes-Benz,Classe A,2014,174 000 km,Manuelle,6 cv,Essence,5,3450,Traction,56
Citroën,C4 Cactus,2019,146 000 km,Manuelle,5 cv,Diesel,2,1200,Traction,58
Suzuki,Swift,2018,139 000 km,Automatique,5 cv,Essence,4,1500,Traction,37
Land,Rover Range Rover Sport,2009,200 000 km,Automatique,13 cv,Diesel,4,1299,Traction,81
Chery,Tiggo 2 Confort,2020,135 000 km,Manuelle,6 cv,Essence,4,1595,Traction,41
Geely,GC6,2021,77 000 km,Manuelle,6 cv,Essence,5,1599,Traction,35
Citroën,Jumpy Fourgon,2015,183 000 km,Manuelle,6 cv,Diesel,5,1300,Traction,38
Volkswagen,Golf 6,2010,262 000 km,Manuelle,7 cv,Essence,4,1300,Traction,34
Fiat,Strada,2001,228 000 km,Manuelle,7 cv,Diesel,4,1598,Traction,24
Toyota,Hilux Double Cabine,2018,214 000 km,Manuelle,8 cv,Diesel,5,1200,Traction,119
Nissan,Qashqai,2017,141 000 km,Automatique,6 cv,Essence,5,2200,Traction,74
Ford,Fiesta Ghia,2008,260 000 km,Manuelle,5 cv,Essence,5,3000,Traction,24
Ford,Ranger,2020,70 000 km,Automatique,7 cv,Diesel,4,999,Traction,145
Volkswagen,Passat,2007,212 000 km,Manuelle,7 cv,Essence,5,1197,Traction,28
Hyundai,Grand i10,2020,97 000 km,Automatique,4 cv,Essence,4,1998,Traction,41
KIA,Sportage,2018,150 000 km,Automatique,8 cv,Essence,5,920,Traction,76
BMW,Série 3 coupé,2009,232 000 km,Manuelle,7 cv,Essence,4,1298,Traction,39
Volkswagen,Polo 7,2011,316 000 km,Manuelle,4 cv,Diesel,4,1400,Traction,31
Volkswagen,Golf Plus Sportsvan Join,2018,72 000 km,Manuelle,6 cv,Essence,5,1400,Traction,79
Land,Rover Defender 110 LXV,2014,115 000 km,Manuelle,8 cv,Diesel,5,1200,Traction,200
Ford,Focus Ecoboost,2016,227 000 km,Manuelle,6 cv,Essence,5,899,Traction,36
Mercedes-Benz,Classe E,2017,252 000 km,Automatique,9 cv,Essence,4,899,Traction,110
BMW,Série 7 X-Drive,2012,200 000 km,Automatique,20 cv,Diesel,5,1995,Traction,155
Renault,Clio Life Plus,2021,149 000 km,Manuelle,5 cv,Essence,5,999,Traction,43
Mercedes-Benz,ML,2006,237 000 km,Automatique,15 cv,Diesel,5,1000,Traction,56
Volkswagen,Golf 7 Cup,2015,139 000 km,Automatique,7 cv,Essence,3,1000,Traction,59
Mahindra,KUV 100 K8,2022,79 000 km,Manuelle,5 cv,Essence,4,1200,Traction,36
Mazda,CX-7,2009,165 000 km,Automatique,18 cv,Essence,5,1599,Traction,45
Mazda,CX-9,2019,169 000 km,Automatique,15 cv,Essence,5,1400,Traction,89
Seat,Leon,2014,96 000 km,Automatique,6 cv,Essence,4,2000,Traction,53
KIA,Picanto,2021,91 000 km,Automatique,5 cv,Essence,4,6999,Traction,45
Volkswagen,Golf 7,2014,175 000 km,Manuelle,5 cv,Essence,5,1599,Traction,45
BMW,Série 3,2008,241 000 km,Manuelle,7 cv,Essence,5,1200,Traction,41
Renault,Clio,2020,47 000 km,Manuelle,4 cv,Essence,4,1675,Traction,39
Mercedes-Benz,Classe C,2017,146 000 km,Automatique,8 cv,Essence,5,1598,Traction,119
Skoda,Octavia,2016,174 000 km,Automatique,8 cv,Essence,5,1600,Traction,51
Nissan,Juke Tekna,2024,5 000 km,Automatique,6 cv,Essence,4,7000,Traction,95
Mercedes-Benz,Classe E,2021,37 000 km,Automatique,10 cv,Hybride,5,1499,Traction,260
Skoda,Scala,2021,94 000 km,Automatique,6 cv,Essence,5,1200,Traction,64
Mitsubishi,L200 Sportero Double Cabine,2022,60 000 km,Automatique,8 cv,Diesel,4,3000,Traction,130
Audi,A6,2015,117 000 km,Automatique,10 cv,Essence,5,1498,Traction,99
Seat,Ibiza,2020,87 000 km,Manuelle,6 cv,Essence,4,5461,Traction,63
Ssangyong,Tivoli,2018,83 000 km,Manuelle,7 cv,Essence,5,1798,Traction,50
Mini,Countryman,2010,179 000 km,Manuelle,6 cv,Essence,5,1482,Traction,41
Audi,A4,2017,141 000 km,Automatique,8 cv,Essence,5,1000,Traction,85
Jeep,Cherokee,2015,297 000 km,Automatique,10 cv,Diesel,4,1298,Traction,69
Porsche,Panamera,2009,192 000 km,Automatique,30 cv,Essence,5,1500,Traction,165
Mercedes-Benz,Classe S,2007,112 000 km,Automatique,19 cv,Essence,5,1600,Traction,78
BMW,Série 5,2018,135 000 km,Automatique,10 cv,Essence,4,5663,Traction,134
Mercedes-Benz,Classe E coupé,2009,194 000 km,Automatique,12 cv,Essence,5,1599,Traction,49
Dongfeng,AX4,2022,33 000 km,Manuelle,7 cv,Essence,5,1000,Traction,59
Chevrolet,Sonic LS,2021,89 000 km,Manuelle,5 cv,Essence,4,999,Traction,41
Peugeot,3008,2017,131 000 km,Manuelle,7 cv,Essence,4,998,Traction,62
Foton,Forland Aumark C6514,2016,35 000 km,Manuelle,10 cv,Diesel,4,1389,Traction,55
Chery,Tiggo 7 Pro,2021,60 000 km,Automatique,9 cv,Essence,5,1999,Traction,75
Citroën,C4 Cactus,2015,142 000 km,Manuelle,5 cv,Essence,4,900,Traction,37
Nissan,Qashqai Tekna,2016,95 000 km,Manuelle,6 cv,Essence,4,1999,Traction,63
BMW,X5,2007,283 000 km,Automatique,15 cv,Diesel,5,1000,Traction,68
Citroën,C4 Picasso,2011,270 000 km,Automatique,6 cv,Diesel,5,1598,Traction,39
Volkswagen,Passat,2012,181 000 km,Automatique,9 cv,Essence,4,3000,Traction,44
DFSK,K02S,2019,99 000 km,Manuelle,6 cv,Essence,2,1198,Traction,18
Citroën,C3,2020,156 000 km,Manuelle,4 cv,Essence,5,1200,Traction,36
Mercedes-Benz,Classe E,2009,189 000 km,Automatique,11 cv,Diesel,2,1999,Traction,63
Audi,Q3 Sportback,2021,122 000 km,Automatique,9 cv,Essence,5,1599,Traction,152
Volkswagen,Golf 7,2019,181 000 km,Automatique,6 cv,Essence,5,1197,Traction,56
Haval,Jolion,2023,24 000 km,Automatique,9 cv,Essence,5,1600,Traction,93
Suzuki,Vitara,2017,183 000 km,Automatique,6 cv,Essence,4,1000,Traction,55
Peugeot,301,2014,93 000 km,Manuelle,5 cv,Essence,4,1300,Traction,26
Volkswagen,Jetta,2018,171 000 km,Manuelle,7 cv,Essence,5,899,Traction,56
Mercedes-Benz,CLA,2013,191 000 km,Automatique,8 cv,Essence,4,1332,Traction,77
Isuzu,D-Max Double Cabine,2013,244 000 km,Manuelle,8 cv,Diesel,5,1999,Traction,115
Volkswagen,Golf 7,2015,54 000 km,Manuelle,5 cv,Essence,5,1800,Traction,58
Hyundai,Grand i10,2021,43 000 km,Manuelle,4 cv,Essence,5,999,Traction,41
Renault,Clio 4,2020,90 000 km,Manuelle,5 cv,Essence,,,Traction,44
Jaguar,XJL,2014,51 000 km,Automatique,16 cv,Essence,5,1395,Traction,180
Haval,H6,2023,12 000 km,Automatique,8 cv,Essence,4,1500,Traction,125
Porsche,Cayenne,2008,184 000 km,Automatique,21 cv,Essence,5,1000,Traction,85
Nissan,Patrol,1991,417 000 km,Manuelle,17 cv,Diesel,5,1600,Traction,32
Peugeot,2008 Allure,2016,60 000 km,Manuelle,5 cv,Essence,5,999,Traction,45
